date,year,month,ndvi_real,ndvi_value,is_synthetic
2016-01-01,2016,1,,0.5029921103686792,True
2016-02-01,2016,2,,0.46028151617430074,True
2016-03-01,2016,3,,0.4564674529994578,True
2016-04-01,2016,4,,0.38081778998642185,True
2016-05-01,2016,5,,0.29929089195694275,True
2016-06-01,2016,6,,0.3682561482144846,True
2016-07-01,2016,7,,0.47722324708671804,True
2016-08-01,2016,8,,0.4650334328555704,True
2016-09-01,2016,9,,0.3875982793351148,True
2016-10-01,2016,10,,0.4287806163333627,True
2016-11-01,2016,11,,0.3827813839533931,True
2016-12-01,2016,12,,0.43091829029699924,True
2017-01-01,2017,1,,0.4941192551988138,True
2017-02-01,2017,2,,0.3984587759401064,True
2017-03-01,2017,3,,0.3738309967655349,True
2017-04-01,2017,4,,0.30818743671444315,True
2017-05-01,2017,5,,0.2721700133137333,True
2017-06-01,2017,6,,0.38735604396777346,True
2017-07-01,2017,7,,0.3905942786094408,True
2017-08-01,2017,8,,0.38911445124808003,True
2017-09-01,2017,9,,0.454997457670873,True
2017-10-01,2017,10,,0.40201992250050583,True
2017-11-01,2017,11,,0.4012739109754892,True
2017-12-01,2017,12,,0.39751625373576993,True
2018-01-01,2018,1,,0.46673133082202495,True
2018-02-01,2018,2,,0.4689605460620241,True
2018-03-01,2018,3,,0.3938204341938445,True
2018-04-01,2018,4,,0.34085691050968797,True
2018-05-01,2018,5,,0.2865264283338884,True
2018-06-01,2018,6,,0.36625147965600147,True
2018-07-01,2018,7,,0.4012631320537028,True
2018-08-01,2018,8,,0.5028178794580622,True
2018-09-01,2018,9,,0.4034796902558732,True
2018-10-01,2018,10,,0.37304413858350893,True
2018-11-01,2018,11,,0.4275706898558659,True
2018-12-01,2018,12,0.4416214851253936,0.4416214851253936,False
2019-01-01,2019,1,0.4777584819538905,0.4777584819538905,False
2019-02-01,2019,2,0.4485278044803006,0.4485278044803006,False
2019-03-01,2019,3,0.4360922681311328,0.4360922681311328,False
2019-04-01,2019,4,0.2087472026293862,0.2087472026293862,False
2019-05-01,2019,5,0.4161158746187952,0.4161158746187952,False
2019-06-01,2019,6,0.3869349332665789,0.3869349332665789,False
2019-07-01,2019,7,0.421366599952009,0.421366599952009,False
2019-08-01,2019,8,0.4616287150827905,0.4616287150827905,False
2019-09-01,2019,9,0.4247127276216393,0.4247127276216393,False
2019-10-01,2019,10,0.444984946180638,0.444984946180638,False
2019-11-01,2019,11,0.3911856543755303,0.3911856543755303,False
2019-12-01,2019,12,0.4298063903487792,0.4298063903487792,False
2020-01-01,2020,1,0.484480512898966,0.484480512898966,False
2020-02-01,2020,2,0.4787817417858371,0.4787817417858371,False
2020-03-01,2020,3,0.4391648088820316,0.4391648088820316,False
2020-04-01,2020,4,0.4427848688535435,0.4427848688535435,False
2020-05-01,2020,5,0.0095892466466013,0.0095892466466013,False
2020-06-01,2020,6,0.3673519736110812,0.3673519736110812,False
2020-07-01,2020,7,0.4384567589345809,0.4384567589345809,False
2020-08-01,2020,8,0.440000583295191,0.440000583295191,False
2020-09-01,2020,9,,0.36142853871902997,True
2020-10-01,2020,10,0.3930518756564408,0.3930518756564408,False
2020-11-01,2020,11,0.3987391391673449,0.3987391391673449,False
2020-12-01,2020,12,0.4036804757555008,0.4036804757555008,False
2021-01-01,2021,1,0.4042367380227606,0.4042367380227606,False
2021-02-01,2021,2,0.4752032035358434,0.4752032035358434,False
2021-03-01,2021,3,0.4335624102142764,0.4335624102142764,False
2021-04-01,2021,4,,0.33504616765175776,True
2021-05-01,2021,5,0.4235061026652222,0.4235061026652222,False
2021-06-01,2021,6,0.4202486458245707,0.4202486458245707,False
2021-07-01,2021,7,0.4325870804867349,0.4325870804867349,False
2021-08-01,2021,8,0.366485183055655,0.366485183055655,False
2021-09-01,2021,9,0.3787612216563098,0.3787612216563098,False
2021-10-01,2021,10,0.4307678889851766,0.4307678889851766,False
2021-11-01,2021,11,,0.3306678095879954,True
2021-12-01,2021,12,0.4540378562688168,0.4540378562688168,False
2022-01-01,2022,1,0.5665433395010603,0.5665433395010603,False
2022-02-01,2022,2,,0.4188372556995132,True
2022-03-01,2022,3,,0.44076540857635366,True
2022-04-01,2022,4,0.3436797782276039,0.3436797782276039,False
2022-05-01,2022,5,,0.33316666137062995,True
2022-06-01,2022,6,0.4299531245435601,0.4299531245435601,False
2022-07-01,2022,7,0.3734820098955717,0.3734820098955717,False
2022-08-01,2022,8,,0.4442727961356842,True
2022-09-01,2022,9,,0.399921830212454,True
2022-10-01,2022,10,,0.39939631452839464,True
2022-11-01,2022,11,0.4068410388342668,0.4068410388342668,False
2022-12-01,2022,12,0.532777037919557,0.532777037919557,False
2023-01-01,2023,1,,0.4341958207120215,True
2023-02-01,2023,2,0.3889873482591985,0.3889873482591985,False
2023-03-01,2023,3,0.4137243254703798,0.4137243254703798,False
2023-04-01,2023,4,0.1819015866961847,0.1819015866961847,False
2023-05-01,2023,5,0.221064041932968,0.221064041932968,False
2023-06-01,2023,6,0.2988650128320719,0.2988650128320719,False
2023-07-01,2023,7,,0.3971484704663404,True
2023-08-01,2023,8,0.4676386316925841,0.4676386316925841,False
2023-09-01,2023,9,,0.3879060185029929,True
2023-10-01,2023,10,0.4360560563481451,0.4360560563481451,False
2023-11-01,2023,11,,0.4357408769511577,True
2023-12-01,2023,12,0.4209130235310875,0.4209130235310875,False
2024-01-01,2024,1,0.4954401999572456,0.4954401999572456,False
2024-02-01,2024,2,0.5339857960399458,0.5339857960399458,False
2024-03-01,2024,3,0.4470004365786885,0.4470004365786885,False
2024-04-01,2024,4,0.461744433412713,0.461744433412713,False
2024-05-01,2024,5,0.4669563016243007,0.4669563016243007,False
2024-06-01,2024,6,0.355112297525518,0.355112297525518,False
2024-07-01,2024,7,0.4452086122844811,0.4452086122844811,False
2024-08-01,2024,8,0.4557675955205774,0.4557675955205774,False
2024-09-01,2024,9,0.4083754222059842,0.4083754222059842,False
2024-10-01,2024,10,0.3445571106897883,0.3445571106897883,False
2024-11-01,2024,11,,0.41088996296726943,True
2024-12-01,2024,12,,0.3857337474384187,True
